0	9516.7	18133	25950	33067	39583	45600	51217	56533	61650	66667	71683	76800	82117	87733	93750	1.0027e+05	1.0738e+05	1.152e+05	1.2382e+05	1.3333e+05
95	9136.7	17278	24620	31262	37303	42845	47987	52828	57470	62012	66553	71195	76037	81178	86720	92762	99403	1.0674e+05	1.1489e+05	1.2393e+05
180	8796.7	16513	23430	29647	35263	40380	45097	49513	53730	57847	61963	66180	70597	75313	80430	86047	92263	99180	1.069e+05	1.1551e+05
255	8496.7	15838	22380	28222	33463	38205	42547	46588	50430	54172	57913	61755	65797	70138	74880	80122	85963	92505	99847	1.0809e+05
320	8236.7	15253	21470	26987	31903	36320	40337	44053	47570	50987	54403	57920	61637	65653	70070	74987	80503	86720	93737	1.0165e+05
375	8016.7	14758	20700	25942	30583	34725	38467	41908	45150	48292	51433	54675	58117	61858	66000	70642	75883	81825	88567	96208
420	7836.7	14353	20070	25087	29503	33420	36937	40153	43170	46087	49003	52020	55237	58753	62670	67087	72103	77820	84337	91753
455	7696.7	14038	19580	24422	28663	32405	35747	38788	41630	44372	47113	49955	52997	56338	60080	64322	69163	74705	81047	88288
480	7596.7	13813	19230	23947	28063	31680	34897	37813	40530	43147	45763	48480	51397	54613	58230	62347	67063	72480	78697	85813
495	7536.7	13678	19020	23662	27703	31245	34387	37228	39870	42412	44953	47595	50437	53578	57120	61162	65803	71145	77287	84328
500	7516.7	13633	18950	23567	27583	31100	34217	37033	39650	42167	44683	47300	50117	53233	56750	60767	65383	70700	76817	83833
495	7536.7	13678	19020	23662	27703	31245	34387	37228	39870	42412	44953	47595	50437	53578	57120	61162	65803	71145	77287	84328
480	7596.7	13813	19230	23947	28063	31680	34897	37813	40530	43147	45763	48480	51397	54613	58230	62347	67063	72480	78697	85813
455	7696.7	14038	19580	24422	28663	32405	35747	38788	41630	44372	47113	49955	52997	56338	60080	64322	69163	74705	81047	88288
420	7836.7	14353	20070	25087	29503	33420	36937	40153	43170	46087	49003	52020	55237	58753	62670	67087	72103	77820	84337	91753
375	8016.7	14758	20700	25942	30583	34725	38467	41908	45150	48292	51433	54675	58117	61858	66000	70642	75883	81825	88567	96208
320	8236.7	15253	21470	26987	31903	36320	40337	44053	47570	50987	54403	57920	61637	65653	70070	74987	80503	86720	93737	1.0165e+05
255	8496.7	15838	22380	28222	33463	38205	42547	46588	50430	54172	57913	61755	65797	70138	74880	80122	85963	92505	99847	1.0809e+05
180	8796.7	16513	23430	29647	35263	40380	45097	49513	53730	57847	61963	66180	70597	75313	80430	86047	92263	99180	1.069e+05	1.1551e+05
95	9136.7	17278	24620	31262	37303	42845	47987	52828	57470	62012	66553	71195	76037	81178	86720	92762	99403	1.0674e+05	1.1489e+05	1.2393e+05
0	9516.7	18133	25950	33067	39583	45600	51217	56533	61650	66667	71683	76800	82117	87733	93750	1.0027e+05	1.0738e+05	1.152e+05	1.2382e+05	1.3333e+05
